threshold,smoothing_method,smoothing_alpha,consecutive_k,positive_records,future_support,predicted_positive_windows,future_precision,future_recall,events,detected_events,event_recall,median_lead_time_sec,false_alert_windows,false_alert_episodes,patient_hours,false_alert_episodes_per_patient_hour,score_name,gate_passed
0.08,raw,1.0,1,8,91,633,0.07109004739336493,0.4945054945054945,13,5,0.38461538461538464,250.0,512,77,11.574999999999998,6.652267818574516,tachy_vs_normal,False
0.1,raw,1.0,1,8,91,588,0.05952380952380952,0.38461538461538464,13,5,0.38461538461538464,250.0,481,73,11.574999999999998,6.3066954643628526,tachy_vs_normal,False
0.12,raw,1.0,1,8,91,547,0.05850091407678245,0.3516483516483517,13,5,0.38461538461538464,250.0,447,73,11.574999999999998,6.3066954643628526,tachy_vs_normal,False
0.15,raw,1.0,1,8,91,487,0.057494866529774126,0.3076923076923077,13,5,0.38461538461538464,250.0,401,73,11.574999999999998,6.3066954643628526,tachy_vs_normal,False
0.2,raw,1.0,1,8,91,422,0.05924170616113744,0.27472527472527475,13,5,0.38461538461538464,250.0,344,65,11.574999999999998,5.615550755939526,tachy_vs_normal,False
0.25,raw,1.0,1,8,91,370,0.06486486486486487,0.26373626373626374,13,4,0.3076923076923077,220.0,298,54,11.574999999999998,4.665226781857452,tachy_vs_normal,False
0.3,raw,1.0,1,8,91,331,0.07250755287009064,0.26373626373626374,13,4,0.3076923076923077,220.0,260,48,11.574999999999998,4.146868250539958,tachy_vs_normal,False
0.4,raw,1.0,1,8,91,277,0.08664259927797834,0.26373626373626374,13,4,0.3076923076923077,220.0,214,39,11.574999999999998,3.3693304535637156,tachy_vs_normal,False
0.5,raw,1.0,1,8,91,224,0.10714285714285714,0.26373626373626374,13,3,0.23076923076923078,230.0,169,35,11.574999999999998,3.0237580993520523,tachy_vs_normal,False
0.6,raw,1.0,1,8,91,162,0.13580246913580246,0.24175824175824176,13,3,0.23076923076923078,210.0,119,26,11.574999999999998,2.2462203023758103,tachy_vs_normal,False
0.7,raw,1.0,1,8,91,97,0.12371134020618557,0.13186813186813187,13,3,0.23076923076923078,210.0,72,20,11.574999999999998,1.7278617710583157,tachy_vs_normal,False
0.8,raw,1.0,1,8,91,59,0.01694915254237288,0.01098901098901099,13,3,0.23076923076923078,10.0,53,10,11.574999999999998,0.8639308855291579,tachy_vs_normal,False
0.02,raw,1.0,2,8,91,840,0.0761904761904762,0.7032967032967034,13,8,0.6153846153846154,220.0,693,57,11.574999999999998,4.9244060475162,tachy_vs_normal,False
0.03,raw,1.0,2,8,91,751,0.07456724367509987,0.6153846153846154,13,6,0.46153846153846156,210.0,619,55,11.574999999999998,4.7516198704103685,tachy_vs_normal,False
0.04,raw,1.0,2,8,91,688,0.07994186046511628,0.6043956043956044,13,6,0.46153846153846156,210.0,557,53,11.574999999999998,4.578833693304537,tachy_vs_normal,False
